"module name","license","repository"
"@auth0/auth0-react@2.2.4","MIT","https://github.com/auth0/auth0-react"
"@auth0/auth0-spa-js@2.1.3","MIT","https://github.com/auth0/auth0-spa-js"
"@babel/code-frame@7.26.2","MIT","https://github.com/babel/babel"
"@babel/generator@7.26.3","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.25.9","MIT","https://github.com/babel/babel"
"@babel/parser@7.26.3","MIT","https://github.com/babel/babel"
"@babel/runtime@7.26.0","MIT","https://github.com/babel/babel"
"@babel/template@7.25.9","MIT","https://github.com/babel/babel"
"@babel/traverse@7.26.4","MIT","https://github.com/babel/babel"
"@babel/types@7.26.3","MIT","https://github.com/babel/babel"
"@emotion/babel-plugin@11.13.5","MIT","https://github.com/emotion-js/emotion/tree/main/packages/babel-plugin"
"@emotion/cache@11.14.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/cache"
"@emotion/hash@0.9.2","MIT","https://github.com/emotion-js/emotion/tree/main/packages/hash"
"@emotion/is-prop-valid@1.3.1","MIT","https://github.com/emotion-js/emotion/tree/main/packages/is-prop-valid"
"@emotion/memoize@0.9.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/memoize"
"@emotion/react@11.14.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/react"
"@emotion/serialize@1.3.3","MIT","https://github.com/emotion-js/emotion/tree/main/packages/serialize"
"@emotion/sheet@1.4.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/sheet"
"@emotion/styled@11.14.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/styled"
"@emotion/unitless@0.10.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/unitless"
"@emotion/use-insertion-effect-with-fallbacks@1.2.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/use-insertion-effect-with-fallbacks"
"@emotion/utils@1.4.2","MIT","https://github.com/emotion-js/emotion/tree/main/packages/utils"
"@emotion/weak-memoize@0.4.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/weak-memoize"
"@jridgewell/gen-mapping@0.3.8","MIT","https://github.com/jridgewell/gen-mapping"
"@jridgewell/resolve-uri@3.1.2","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/set-array@1.2.1","MIT","https://github.com/jridgewell/set-array"
"@jridgewell/sourcemap-codec@1.5.0","MIT","https://github.com/jridgewell/sourcemap-codec"
"@jridgewell/trace-mapping@0.3.25","MIT","https://github.com/jridgewell/trace-mapping"
"@mui/core-downloads-tracker@6.3.1","MIT","https://github.com/mui/material-ui"
"@mui/icons-material@6.3.0","MIT","https://github.com/mui/material-ui"
"@mui/material@6.3.1","MIT","https://github.com/mui/material-ui"
"@mui/private-theming@6.3.1","MIT","https://github.com/mui/material-ui"
"@mui/styled-engine@6.3.1","MIT","https://github.com/mui/material-ui"
"@mui/system@6.3.1","MIT","https://github.com/mui/material-ui"
"@mui/types@7.2.21","MIT","https://github.com/mui/material-ui"
"@mui/utils@6.3.1","MIT","https://github.com/mui/material-ui"
"@popperjs/core@2.11.8","MIT","https://github.com/popperjs/popper-core"
"@types/cookie@0.6.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/parse-json@4.0.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/prop-types@15.7.14","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-transition-group@4.4.12","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@18.3.18","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit"
"axios@1.7.9","MIT","https://github.com/axios/axios"
"babel-plugin-macros@3.1.0","MIT","https://github.com/kentcdodds/babel-plugin-macros"
"callsites@3.1.0","MIT","https://github.com/sindresorhus/callsites"
"client-link-saver@1.0.1","UNLICENSED",""
"clsx@2.1.1","MIT","https://github.com/lukeed/clsx"
"combined-stream@1.0.8","MIT","https://github.com/felixge/node-combined-stream"
"convert-source-map@1.9.0","MIT","https://github.com/thlorenz/convert-source-map"
"cookie@1.0.2","MIT","https://github.com/jshttp/cookie"
"cosmiconfig@7.1.0","MIT","https://github.com/davidtheclark/cosmiconfig"
"csstype@3.1.3","MIT","https://github.com/frenic/csstype"
"debug@4.4.0","MIT","https://github.com/debug-js/debug"
"delayed-stream@1.0.0","MIT","https://github.com/felixge/node-delayed-stream"
"dom-helpers@5.2.1","MIT","https://github.com/react-bootstrap/dom-helpers"
"error-ex@1.3.2","MIT","https://github.com/qix-/node-error-ex"
"escape-string-regexp@4.0.0","MIT","https://github.com/sindresorhus/escape-string-regexp"
"express-oauth2-jwt-bearer@1.6.0","MIT","https://github.com/auth0/node-oauth2-jwt-bearer"
"find-root@1.1.0","MIT","https://github.com/js-n/find-root"
"follow-redirects@1.15.9","MIT","https://github.com/follow-redirects/follow-redirects"
"form-data@4.0.1","MIT","https://github.com/form-data/form-data"
"function-bind@1.1.2","MIT","https://github.com/Raynos/function-bind"
"globals@11.12.0","MIT","https://github.com/sindresorhus/globals"
"hasown@2.0.2","MIT","https://github.com/inspect-js/hasOwn"
"hoist-non-react-statics@3.3.2","BSD-3-Clause","https://github.com/mridgway/hoist-non-react-statics"
"import-fresh@3.3.0","MIT","https://github.com/sindresorhus/import-fresh"
"is-arrayish@0.2.1","MIT","https://github.com/qix-/node-is-arrayish"
"is-core-module@2.16.1","MIT","https://github.com/inspect-js/is-core-module"
"jose@4.15.9","MIT","https://github.com/panva/jose"
"js-tokens@4.0.0","MIT","https://github.com/lydell/js-tokens"
"jsesc@3.1.0","MIT","https://github.com/mathiasbynens/jsesc"
"json-parse-even-better-errors@2.3.1","MIT","https://github.com/npm/json-parse-even-better-errors"
"lines-and-columns@1.2.4","MIT","https://github.com/eventualbuddha/lines-and-columns"
"loose-envify@1.4.0","MIT","https://github.com/zertosh/loose-envify"
"mime-db@1.52.0","MIT","https://github.com/jshttp/mime-db"
"mime-types@2.1.35","MIT","https://github.com/jshttp/mime-types"
"ms@2.1.3","MIT","https://github.com/vercel/ms"
"object-assign@4.1.1","MIT","https://github.com/sindresorhus/object-assign"
"parent-module@1.0.1","MIT","https://github.com/sindresorhus/parent-module"
"parse-json@5.2.0","MIT","https://github.com/sindresorhus/parse-json"
"path-parse@1.0.7","MIT","https://github.com/jbgutierrez/path-parse"
"path-type@4.0.0","MIT","https://github.com/sindresorhus/path-type"
"picocolors@1.1.1","ISC","https://github.com/alexeyraspopov/picocolors"
"prop-types@15.8.1","MIT","https://github.com/facebook/prop-types"
"proxy-from-env@1.1.0","MIT","https://github.com/Rob--W/proxy-from-env"
"react-dom@18.3.1","MIT","https://github.com/facebook/react"
"react-fast-compare@3.2.2","MIT","https://github.com/FormidableLabs/react-fast-compare"
"react-helmet@6.1.0","MIT","https://github.com/nfl/react-helmet"
"react-is@16.13.1","MIT","https://github.com/facebook/react"
"react-is@19.0.0","MIT","https://github.com/facebook/react"
"react-router-dom@7.1.1","MIT","https://github.com/remix-run/react-router"
"react-router@7.1.1","MIT","https://github.com/remix-run/react-router"
"react-side-effect@2.1.2","MIT","https://github.com/gaearon/react-side-effect"
"react-transition-group@4.4.5","BSD-3-Clause","https://github.com/reactjs/react-transition-group"
"react@18.3.1","MIT","https://github.com/facebook/react"
"regenerator-runtime@0.14.1","MIT","https://github.com/facebook/regenerator/tree/main/packages/runtime"
"resolve-from@4.0.0","MIT","https://github.com/sindresorhus/resolve-from"
"resolve@1.22.10","MIT","https://github.com/browserify/resolve"
"scheduler@0.23.2","MIT","https://github.com/facebook/react"
"set-cookie-parser@2.7.1","MIT","https://github.com/nfriedly/set-cookie-parser"
"source-map@0.5.7","BSD-3-Clause","https://github.com/mozilla/source-map"
"stylis@4.2.0","MIT","https://github.com/thysultan/stylis.js"
"supports-preserve-symlinks-flag@1.0.0","MIT","https://github.com/inspect-js/node-supports-preserve-symlinks-flag"
"turbo-stream@2.4.0","ISC","https://github.com/jacob-ebey/turbo-stream"
"yaml@1.10.2","ISC","https://github.com/eemeli/yaml"
