"module name","license","repository"
"@isaacs/cliui@8.0.2","ISC","https://github.com/yargs/cliui"
"@mongodb-js/saslprep@1.1.9","MIT","https://github.com/mongodb-js/devtools-shared"
"@one-ini/wasm@0.1.1","MIT","https://github.com/one-ini/core"
"@pkgjs/parseargs@0.11.0","MIT","https://github.com/pkgjs/parseargs"
"@types/body-parser@1.19.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/connect@3.4.38","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/debug@4.1.12","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/express-serve-static-core@4.19.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/express@4.17.21","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/http-errors@2.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/jsonwebtoken@8.5.9","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/jsonwebtoken@9.0.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/mime@1.3.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/ms@0.7.34","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@22.10.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/qs@6.9.17","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/range-parser@1.2.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/send@0.17.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/serve-static@1.15.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/validator@13.12.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/webidl-conversions@7.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/whatwg-url@11.0.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"abbrev@2.0.0","ISC","https://github.com/npm/abbrev-js"
"accepts@1.3.8","MIT","https://github.com/jshttp/accepts"
"ansi-regex@5.0.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-regex@6.1.0","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@4.3.0","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles@6.2.1","MIT","https://github.com/chalk/ansi-styles"
"array-flatten@1.1.1","MIT","https://github.com/blakeembrey/array-flatten"
"at-least-node@1.0.0","ISC","https://github.com/RyanZim/at-least-node"
"auth0@4.15.0","MIT","https://github.com/auth0/node-auth0"
"balanced-match@1.0.2","MIT","https://github.com/juliangruber/balanced-match"
"bluebird@3.7.2","MIT","https://github.com/petkaantonov/bluebird"
"body-parser@1.20.3","MIT","https://github.com/expressjs/body-parser"
"brace-expansion@2.0.1","MIT","https://github.com/juliangruber/brace-expansion"
"bson@6.10.1","Apache-2.0","https://github.com/mongodb/js-bson"
"buffer-equal-constant-time@1.0.1","BSD-3-Clause","https://github.com/goinstant/buffer-equal-constant-time"
"bytes@3.1.2","MIT","https://github.com/visionmedia/bytes.js"
"call-bind-apply-helpers@1.0.1","MIT","https://github.com/ljharb/call-bind-apply-helpers"
"call-bound@1.0.3","MIT","https://github.com/ljharb/call-bound"
"cli-color@2.0.4","ISC","https://github.com/medikoo/cli-color"
"cliui@7.0.4","ISC","https://github.com/yargs/cliui"
"color-convert@2.0.1","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.4","MIT","https://github.com/colorjs/color-name"
"commander@10.0.1","MIT","https://github.com/tj/commander.js"
"config-chain@1.1.13","MIT","https://github.com/dominictarr/config-chain"
"content-disposition@0.5.4","MIT","https://github.com/jshttp/content-disposition"
"content-type@1.0.5","MIT","https://github.com/jshttp/content-type"
"cookie-signature@1.0.6","MIT","https://github.com/visionmedia/node-cookie-signature"
"cookie@0.7.1","MIT","https://github.com/jshttp/cookie"
"cors@2.8.5","MIT","https://github.com/expressjs/cors"
"cross-spawn@7.0.6","MIT","https://github.com/moxystudio/node-cross-spawn"
"d@1.0.2","ISC","https://github.com/medikoo/d"
"debug@2.6.9","MIT","https://github.com/visionmedia/debug"
"debug@4.4.0","MIT","https://github.com/debug-js/debug"
"depd@2.0.0","MIT","https://github.com/dougwilson/nodejs-depd"
"destroy@1.2.0","MIT","https://github.com/stream-utils/destroy"
"dotenv@16.4.7","BSD-2-Clause","https://github.com/motdotla/dotenv"
"dottie@2.0.6","MIT","https://github.com/mickhansen/dottie.js"
"dunder-proto@1.0.1","MIT","https://github.com/es-shims/dunder-proto"
